avg_funding/round;days since last funding;milestones/company_age;avg_funding/milestone;avg_growth;growth_funding_3_4;growth_funding_2_3;growth_of_funding_1_2;avg_funding/partner;avg_funding/contributor;avg_funding/year;company_age;acquired_or_closed;company_id;state;regionen;BusinessField_gruppiert;BusinessField - 1;NumContributors;NumPartners;total _funding;max_round_nr;total_milestone_nr;round_nr_5;round_nr_4;round_nr_3;round_nr_2;round_nr_1
13750000;2214;0.384615385;11000000;1.768137320;9.215618671;-0.989009667;-0.154059723;2115384.61538462;20000000;4230769.23076923;13;Wahr;1600;CA;westen;software und technologie;web;2.75;26;55000000;4;5;0;2678525;262199;23857239;28202037
13000000;3115;0.066666667;13000000;-1;0;0;-1;2166666.66666667;3250000;866666.666666667;15;Wahr;3050;OR;westen;software und technologie;software;4;6;13000000;1;1;0;0;0;0;13000000
9000000;1295;0.375;12000000;-0.907454464;-0.951283308;-0.737159639;-0.941374907;4000000;12000000;4500000;8;Wahr;3950;CA;westen;software und technologie;software;3;9;36000000;4;3;0;25144;516127;1963652;33495077
2996158;1744;0.066666667;5992316;-0.557044241;0;-1;-0.114088483;1198463.2;2996158;399487.733333333;15;Wahr;44434;TX;süden;enterprise und other;enterprise;2;5;5992316;2;1;0;0;0;2814905;3177411
18800000;2879;0;0;-1;0;0;-1;6266666.66666667;2685714.28571429;989473.684210526;19;Wahr;26988;TX;süden;software und technologie;semiconductor;7;3;18800000;1;0;0;0;0;0;18800000
1491250;848;0.090909091;5965000;0.075290749;1.741220749;0.525191839;-0.965249592;852142.857142857;5965000;542272.727272727;11;Wahr;25132;CA;westen;software und technologie;software;1;7;5965000;4;1;0;702849;256400;168110;4837641
7466666.66666667;2305;0.071428571;22400000;0.122002836;-1;1.554757415;-0.188748906;7466666.66666667;6109035.37240571;1600000;14;Wahr;27620;NC;süden;software und technologie;network_hosting;3.6667;3;22400000;3;1;0;0;11953526;4678928;5767546
250000;1856;0;0;-0.420305597;0;-1;0.159388807;83333.333333333;500000;55555.555555556;9;Falsch;39399;CA;westen;software und technologie;software;1;6;500000;2;0;0;0;0;268453;231547
6050000;2319;0.083333333;12100000;-0.661613831;0;-1;-0.323227662;1210000;12100000;1008333.33333333;12;Falsch;10398;CA;westen;software und technologie;web;1;10;12100000;2;1;0;0;0;4883755;7216245
207500;2626;0.25;207500;7.902755121;0;-1;16.805510241;69166.666666667;415000;51875;8;Wahr;459;CO;westen;software und technologie;network_hosting;1;6;415000;2;2;0;0;0;392932;22068
1096000;1406;0.214285714;730666.666666667;-0.916085149;0;-1;-0.832170299;219200;2192000;156571.428571429;14;Falsch;12179;IN;mittlerer_westen;social_media;public_relations;1;10;2192000;2;3;0;0;0;315014;1876986
8170180;1695;0.117647059;12255270;-0.590439754;-1;-0.198598107;-0.572721156;4902108;9191337.6082799;1441796.47058824;17;Wahr;45696;CA;westen;enterprise und other;enterprise;2.6667;5;24510540;3;2;0;0;4742581;5917856;13850103
23180589.4285714;1108;0.045454545;162264126;0.349285334;1.257400224;0.023676126;-0.986985203;40566031.5;24039129.7777778;7375642.09090909;22;Falsch;25383;NC;süden;bildung und forschung;biotech;6.75;4;162264126;7;1;142900;4586044;2031560;1984573;152485902
2500000;1898;0.25;2500000;2.271615126;0;-1;5.543230253;294117.647058824;5000000;625000;8;Wahr;4961;CA;westen;software und technologie;web;1;17;5000000;2;2;0;0;0;4337154;662846
6500000;961;0.333333333;2166666.66666667;-1;0;0;-1;433333.333333333;812500;722222.222222222;9;Wahr;714;NY;nordosten;software und technologie;web;8;15;6500000;1;3;0;0;0;0;6500000
941182;693;0.3;1568636.66666667;-0.390629357;-0.626716143;0.207232965;-0.196922870;941182;1568636.66666667;470591;10;Wahr;40782;NY;nordosten;software und technologie;mobile;3;5;4705910;5;3;334737;504685;1352014;1119928;1394546
1050000;1988;0.076923077;2100000;-0.861602778;0;-1;-0.723205557;700000;1050000;161538.461538462;13;Falsch;7163;PA;nordosten;software und technologie;mobile;2;3;2100000;2;1;0;0;0;455256;1644744
4000000;2864;0.181818182;2000000;-1;0;0;-1;444444.444444444;2000000;363636.363636364;11;Falsch;3717;TX;süden;software und technologie;search;2;9;4000000;1;2;0;0;0;0;4000000
666666.666666667;979;0.25;1000000;0.720603034;-1;-0.536501896;3.698310998;125000;545449.586821938;250000;8;Wahr;43172;CA;westen;lifestyle;sports;3.6667;16;2000000;3;2;0;0;552988;1193075;253937
8000000;2417;0.071428571;24000000;5.613788339;-1;-0.861029133;18.702394149;4800000;8999887.50140623;1714285.71428571;14;Wahr;16271;CA;westen;software und technologie;network_hosting;2.6667;5;24000000;3;1;0;0;2803419;20172710;1023871
3216666.66666667;691;0.266666667;2412500;44.068154206;-1;134.163012424;-0.958549808;742307.692307692;2412500;643333.333333333;15;Wahr;1043;MA;nordosten;software und technologie;mobile;4;13;9650000;3;4;0;0;8137354;60204;1452442
1000000;2556;0.166666667;500000;-1;0;0;-1;76923.076923077;333333.333333333;83333.333333333;12;Wahr;10864;AZ;westen;finanzen;advertising;3;13;1000000;1;2;0;0;0;0;1000000
5000000;1784;0.272727273;1666666.66666667;-1;0;0;-1;625000;5000000;454545.454545455;11;Wahr;13127;CA;westen;manufacturing;cleantech;1;8;5000000;1;3;0;0;0;0;5000000
7500000;2770;0;0;1.869158338;-1;7.585313369;-0.977838356;1125000;5625000;1875000;12;Wahr;30;CA;westen;software und technologie;search;4;20;22500000;3;0;0;0;3530899;411272;18557829
8150000;1209;0.181818182;8150000;-0.454125506;0;-1;0.091748987;2716666.66666667;8150000;1481818.18181818;11;Wahr;69834;MA;nordosten;enterprise und other;enterprise;2;6;16300000;2;2;0;0;0;8507478;7792522
3900000;884;0.333333333;6825000;1.000608085;1.102711695;6.760938973;-0.004079966;1186956.52173913;13650000;2275000;12;Wahr;24029;NY;nordosten;finanzen;games_video;2;23;27300000;7;4;5026073;7600468;3614603;465743;467651
2000000;2438;0.5;1000000;-0.577939471;0;-1;-0.155878943;181818.181818182;1333333.33333333;500000;8;Wahr;512;CA;westen;software und technologie;web;3;22;4000000;2;4;0;0;0;1830945;2169055
2250000;1498;0.285714286;2250000;-0.655316625;0;-1;-0.310633250;500000;2250000;642857.142857143;7;Wahr;62432;VA;süden;software und technologie;web;2;9;4500000;2;2;0;0;0;1836280;2663720
6625000;874;0.307692308;3312500;0.127644954;0;-1;1.255289908;3312500;6625000;1019230.76923077;13;Wahr;10392;CO;westen;finanzen;advertising;2;4;13250000;2;4;0;0;0;9179702;4070298
3750000;924;0.428571429;1250000;-1;0;0;-1;750000;416666.666666667;535714.285714286;7;Wahr;162116;CA;westen;software und technologie;mobile;9;5;3750000;1;3;0;0;0;0;3750000
5000000;2770;0.125;5000000;-1;0;0;-1;2500000;2500000;625000;8;Falsch;1627;NY;nordosten;finanzen;games_video;2;2;5000000;1;1;0;0;0;0;5000000
2500000;3414;0;0;-1;0;0;-1;0;2500000;138888.888888889;18;Falsch;56580;CA;westen;software und technologie;software;1;0;2500000;1;0;0;0;0;0;2500000
15000000;2587;0.272727273;15000000;-0.741898848;-1;-0.272606742;-0.953089802;5625000;45000000;4090909.09090909;11;Falsch;575;NY;nordosten;finanzen;games_video;1;8;45000000;3;3;0;0;1420399;1952725;41626876
20000000;2766;0;0;-1;0;0;-1;20000000;4000000;1000000;20;Falsch;41968;CA;westen;software und technologie;hardware;5;1;20000000;1;0;0;0;0;0;20000000
62500;1644;0.333333333;62500;-0.747124014;0;-1;-0.494248027;41666.666666667;125000;20833.333333333;6;Falsch;31294;PA;nordosten;finanzen;advertising;1;3;125000;2;2;0;0;0;41985;83015
9125000;3038;0.066666667;18250000;-0.462269483;0;-1;0.075461034;6083333.33333333;7300000;1216666.66666667;15;Wahr;13168;CA;westen;software und technologie;search;2.5;3;18250000;2;1;0;0;0;9456773;8793227
21250000;3026;0.25;14166666.6666667;-0.957007391;0;-1;-0.914014782;2656250;7727272.72727273;3541666.66666667;12;Wahr;35511;TX;süden;social_media;public_relations;5.5;16;42500000;2;3;0;0;0;3365029;39134971
500000;1238;0.375;166666.666666667;-1;0;0;-1;166666.666666667;166666.666666667;62500;8;Falsch;59054;CA;westen;software und technologie;web;3;3;500000;1;3;0;0;0;0;500000
1193740.5;1517;0.1;2387481;-0.554734757;0;-1;-0.109469515;1193740.5;2387481;238748.1;10;Falsch;45413;NV;westen;bildung und forschung;analytics;1;2;2387481;2;1;0;0;0;1124618;1262863
4750000;547;0;0;-0.660585438;0.301547848;-0.989253670;-0.954635931;3800000;9500000;1900000;10;Wahr;453;CA;westen;finanzen;games_video;2;5;19000000;4;0;0;11520;8851;823630;18155999
1000000;3492;0;0;-1;0;0;-1;1000000;333333.333333333;66666.666666667;15;Falsch;52694;WV;süden;software und technologie;software;3;1;1000000;1;0;0;0;0;0;1000000
2000000;2646;0;0;-1;0;0;-1;0;2000000;111111.111111111;18;Falsch;31968;CA;westen;bildung und forschung;biotech;1;0;2000000;1;0;0;0;0;0;2000000
4000000;3347;0.307692308;1000000;-1;0;0;-1;571428.571428571;4000000;307692.307692308;13;Falsch;2272;CA;westen;software und technologie;web;1;7;4000000;1;4;0;0;0;0;4000000
20000;1583;0.25;10000;-1;0;0;-1;20000;20000;2500;8;Falsch;63217;CA;westen;software und technologie;web;1;1;20000;1;2;0;0;0;0;20000
12520000;1871;0.111111111;31300000;0.579613037;3.742764601;1.330153308;-0.828478781;8942857.14285714;6707166.81131004;3477777.77777778;18;Wahr;35887;CA;westen;software und technologie;semiconductor;9.3333;7;62600000;5;2;16482085;25216383;5316811;2281743;13302978
36000;1766;0.1;72000;4.058128763;0;-1;9.116257527;18000;72000;7200;10;Falsch;47341;UT;westen;enterprise und other;enterprise;1;4;72000;2;1;0;0;0;65523;6477
587500;929;0.111111111;1175000;5.144649785;0;-1;11.289299569;587500;1175000;130555.555555556;9;Falsch;139729;PA;nordosten;software und technologie;software;1;2;1175000;2;1;0;0;0;1086583;88417
20000;1217;0.2;20000;-1;0;0;-1;10000;20000;4000;5;Falsch;150577;OH;mittlerer_westen;lifestyle;fashion;1;2;20000;1;1;0;0;0;0;20000
100000;1460;0.285714286;50000;-1;0;0;-1;33333.333333333;100000;14285.714285714;7;Falsch;83176;CA;westen;finanzen;games_video;1;3;100000;1;2;0;0;0;0;100000
12500000;3276;0.058823529;12500000;-1;0;0;-1;2500000;4166666.66666667;735294.117647059;17;Wahr;30526;WA;westen;software und technologie;network_hosting;3;5;12500000;1;1;0;0;0;0;12500000
5000000;3544;0.0625;5000000;-1;0;0;-1;1666666.66666667;1000000;312500;16;Falsch;58998;WA;westen;software und technologie;software;5;3;5000000;1;1;0;0;0;0;5000000
20000;2083;0.142857143;20000;-1;0;0;-1;6666.666666667;20000;2857.142857143;7;Falsch;23335;VA;süden;software und technologie;web;1;3;20000;1;1;0;0;0;0;20000
27500000;1798;0.125;55000000;6.440795737;0;-1;13.881591474;13750000;27500000;6875000;8;Wahr;25600;MA;nordosten;bildung und forschung;biotech;2;4;55000000;2;1;0;0;0;51536871;3463129
445000;881;0;0;-0.611506884;0;-1;-0.223013769;445000;296666.666666667;148333.333333333;6;Falsch;164922;NY;nordosten;software und technologie;mobile;3;2;890000;2;0;0;0;0;389152;500848
14000000;972;0.625;14000000;0.284989441;-0.638994496;1.837946480;-0.940199564;3181818.18181818;16666666.6666667;8750000;8;Falsch;365;CA;westen;enterprise und other;enterprise;4.2;22;70000000;5;5;9145389;2888448;8001119;2819334;47145710
8733333.33333333;1973;0.066666667;26200000;84.967972342;-1;256.901895367;-0.997978340;6550000;10480000;1746666.66666667;15;Wahr;17282;CA;westen;software und technologie;semiconductor;2.5;4;26200000;3;1;0;0;8966991;34769;17198240
5000000;2374;0.1;5000000;-1;0;0;-1;833333.333333333;5000000;500000;10;Falsch;8596;CA;westen;manufacturing;cleantech;1;6;5000000;1;1;0;0;0;0;5000000
4000000;2308;0.3;1333333.33333333;-1;0;0;-1;266666.666666667;1333333.33333333;400000;10;Wahr;10581;CA;westen;software und technologie;web;3;15;4000000;1;3;0;0;0;0;4000000
2450000;2556;0.272727273;1633333.33333333;0.655233082;0;-1;2.310466164;980000;4900000;445454.545454545;11;Falsch;6049;CA;westen;software und technologie;mobile;1;5;4900000;2;3;0;0;0;3763232;1136768
125000;1825;0.272727273;125000;-0.909353929;-1;-0.747466216;-0.980595572;125000;375000;34090.909090909;11;Wahr;6669;CA;westen;finanzen;music;1;3;375000;3;3;0;0;1794;7104;366102
6500000;1072;0.285714286;6500000;-0.803199835;0;-1;-0.606399670;1181818.18181818;4333333.33333333;1857142.85714286;7;Wahr;73586;CA;westen;software und technologie;mobile;3;11;13000000;2;2;0;0;0;3671644;9328356
1425000000;672;0.133333333;2850000000;1.898689172;0.521253530;-0.669410807;8.742913967;300000000;1341176470.58824;380000000;15;Wahr;13219;WA;westen;software und technologie;mobile;4.25;19;5700000000;4;2;0;1480569600;973256312;2944005226;302168862
4500000;1729;0.055555556;9000000;-0.737546982;0;-1;-0.475093964;409090.909090909;2250000;500000;18;Wahr;17724;CA;westen;software und technologie;network_hosting;4;22;9000000;2;1;0;0;0;3097997;5902003
1000000;2647;0.133333333;500000;-1;0;0;-1;250000;333333.333333333;66666.666666667;15;Wahr;46901;NY;nordosten;software und technologie;software;3;4;1000000;1;2;0;0;0;0;1000000
33333333.3333333;2587;0.157894737;33333333.3333333;-0.406965044;-1;0.648365504;-0.869260635;16666666.6666667;40000000;5263157.89473684;19;Wahr;1595;MD;süden;software und technologie;web;2.5;6;100000000;3;3;0;0;16007945;9711405;74280650
12000;1521;0.142857143;12000;-1;0;0;-1;4000;12000;1714.285714286;7;Falsch;60352;WA;westen;finanzen;games_video;1;3;12000;1;1;0;0;0;0;12000
7350000;1187;0.222222222;7350000;-0.902075360;0;-1;-0.804150720;1837500;3675000;1633333.33333333;9;Wahr;20313;NY;nordosten;software und technologie;software;4;8;14700000;2;2;0;0;0;2407481;12292519
2933333.33333333;4748;0.117647059;4400000;0.987854365;-1;2.824346281;1.139216814;2933333.33333333;8800000;517647.058823529;17;Wahr;2434;OR;westen;software und technologie;network_hosting;1;3;8800000;3;2;0;0;6359689;1662948;777363
16000000;3571;0.066666667;16000000;-1;0;0;-1;2666666.66666667;5333333.33333333;1066666.66666667;15;Wahr;58018;CA;westen;software und technologie;software;3;6;16000000;1;1;0;0;0;0;16000000
200000;3431;0;0;-1;0;0;-1;0;200000;12500;16;Falsch;54177;VA;süden;social_media;public_relations;1;0;200000;1;0;0;0;0;0;200000
26666666.6666667;2780;0.066666667;80000000;-0.912119225;-1;-0.923050590;-0.813307086;16000000;20000000;5333333.33333333;15;Wahr;17542;CA;westen;software und technologie;software;4;5;80000000;3;1;0;0;956883;12435222;66607895
650000;1004;0.125;1300000;2.000080771;0;-1;5.000161542;650000;1300000;162500;8;Falsch;65806;CA;westen;finanzen;games_video;1;2;1300000;2;1;0;0;0;1114290;185710
3650000;2445;0;0;-0.636638439;0;-1;-0.273276878;1460000;2433333.33333333;486666.666666667;15;Falsch;24570;GA;süden;bildung und forschung;biotech;3;5;7300000;2;0;0;0;0;3072339;4227661
20000000;3243;0.071428571;20000000;-1;0;0;-1;5000000;6666666.66666667;1428571.42857143;14;Wahr;26702;CA;westen;gesundheit und sicherheit;security;3;4;20000000;1;1;0;0;0;0;20000000
4166666.66666667;3187;0;0;-0.764689191;-1;-0.895019910;-0.399047663;2500000;5357219.38884841;961538.461538462;13;Wahr;5587;WA;westen;software und technologie;software;2.3333;5;12500000;3;0;0;0;473907;4514256;7511837
4475000;982;0.4;4475000;-0.851155697;0;-1;-0.702311394;372916.666666667;1278571.42857143;1790000;5;Wahr;83265;CA;westen;bildung und forschung;analytics;7;24;8950000;2;2;0;0;0;2053122;6896878
10000000;2071;0;0;-1;0;0;-1;2500000;3333333.33333333;833333.333333333;12;Wahr;9599;WA;westen;software und technologie;software;3;4;10000000;1;0;0;0;0;0;10000000
12182500;1744;0.272727273;16243333.3333333;-0.823078094;-0.735436187;-0.801398481;-0.755477708;9746000;16243333.3333333;4430000;11;Wahr;37929;MA;nordosten;software und technologie;software;3;5;48730000;4;3;0;479410;1812077;9124185;37314328
7250000;2312;0.272727273;4833333.33333333;-0.960670533;0;-1;-0.921341066;1318181.81818182;9666666.66666667;1318181.81818182;11;Wahr;1669;TX;süden;software und technologie;network_hosting;1.5;11;14500000;2;3;0;0;0;1057382;13442618
674333.333333333;1427;0.222222222;1011500;-0.747405880;-1;-0.602555958;-0.639661682;144500;1517287.93219831;224777.777777778;9;Wahr;51332;CA;westen;software und technologie;web;1.3333;14;2023000;3;2;0;0;192692;484828;1345480
